,t ,Position of mouse(left axis),Position of mouse(left axis),Velocity of mouse(left axis),Velocity of mouse(left axis),pfb,plr,vpfb,vplr,,,Position of pepper(right axis),Position of pepper(right axis),Velocity of pepper(right axis),Velocity of pepper(right axis),Command of velocity(left axis),Command of velocity(left axis),speed of pepper,upper_limit,lower_limit
289,22.93906264,913,43,0,0,0.330505848,0.027497694,,,,,-0.330505848,-0.027497694,,,,,,,
290,23.01913833,913,43,0,0,0.331393301,0.027536616,,,,,-0.331393301,-0.027536616,,,,,,,
291,23.08778965,913,42,0.039215686,0,0.331855834,0.027515203,,,,,-0.331855834,-0.027515203,,,,,,,
292,23.17196687,913,41,0.039215686,0,0.331693381,0.027507424,,,,,-0.331693381,-0.027507424,,,,,,,
293,23.25027111,913,40,0.039215686,0,0.331693381,0.027507424,,,,,-0.331693381,-0.027507424,,,,,,,
294,23.31464511,913,40,0,0,0.331693381,0.027507424,,,,,-0.331693381,-0.027507424,,,,,,,
295,23.38772348,913,40,0,0,0.331693381,0.027507424,,,,,-0.331693381,-0.027507424,,,,,,,
296,23.47241428,913,39,0.039215686,0,0.331693381,0.027507424,,,,,-0.331693381,-0.027507424,,,,,,,
297,23.55049531,913,38,0.039215686,0,0.331818253,0.027582169,,,,,-0.331818253,-0.027582169,,,,,,,
298,23.62243828,913,38,0,0,0.332816184,0.028181732,,,,,-0.332816184,-0.028181732,,,,,,,
299,23.70384217,913,37,0.039215686,0,0.333560377,0.029006302,,,,,-0.333560377,-0.029006302,,,,,,,
300,23.7726685,913,36,0.039215686,0,0.333917797,0.02971673,,,,,-0.333917797,-0.02971673,,,,,,,
301,23.87291561,913,34,0.078431373,0,0.334648132,0.030683458,,,,,-0.334648132,-0.030683458,,,,,,,
302,23.950952,913,33,0.039215686,0,0.33501789,0.031297639,,,,,-0.33501789,-0.031297639,,,,,,,
303,24.01979058,913,32,0.039215686,0,0.335463762,0.031778425,,,,,-0.335463762,-0.031778425,,,,,,,
304,24.088466,913,31,0.039215686,0,0.336018324,0.032596007,,,,,-0.336018324,-0.032596007,,,,,,,
305,24.17295689,913,30,0.039215686,0,0.336875379,0.033134207,,,,,-0.336875379,-0.033134207,,,,,,,
306,24.25524848,913,29,0.039215686,0,0.338551342,0.033046782,,,,,-0.338551342,-0.033046782,,,,,,,
307,24.37313823,913,28,0.039215686,0,0.340448529,0.033333927,,,,,-0.340448529,-0.033333927,,,,,,,
308,24.45125837,913,28,0,0,0.34221074,0.033357739,,,,,-0.34221074,-0.033357739,,,,,,,
309,24.53556437,913,27,0.039215686,0,0.343010843,0.033350319,,,,,-0.343010843,-0.033350319,,,,,,,
310,24.60750616,913,26,0.039215686,0,0.344197333,0.033458337,,,,,-0.344197333,-0.033458337,,,,,,,
311,24.68894916,913,26,0,0,0.345146835,0.033512294,,,,,-0.345146835,-0.033512294,,,,,,,
312,24.77347837,913,25,0.039215686,0,0.345896453,0.033549622,,,,,-0.345896453,-0.033549622,,,,,,,
313,24.84661482,913,24,0.039215686,0,0.346708626,0.033580273,,,,,-0.346708626,-0.033580273,,,,,,,
314,24.92041063,913,24,0,0,0.347396374,0.03356488,,,,,-0.347396374,-0.03356488,,,,,,,
315,24.98928792,913,23,0.039215686,0,0.347921133,0.033585101,,,,,-0.347921133,-0.033585101,,,,,,,
316,25.05550962,913,22,0.039215686,0,0.348383695,0.033582389,,,,,-0.348383695,-0.033582389,,,,,,,
317,25.12680903,913,21,0.039215686,0,0.349158674,0.033590332,,,,,-0.349158674,-0.033590332,,,,,,,
318,25.20558221,913,19,0.078431373,0,0.349696159,0.033588275,,,,,-0.349696159,-0.033588275,,,,,,,
319,25.28714649,913,18,0.039215686,0,0.350359142,0.033542708,,,,,-0.350359142,-0.033542708,,,,,,,
320,25.37491205,913,16,0.078431373,0,0.351383895,0.033567771,,,,,-0.351383895,-0.033567771,,,,,,,
321,25.45301678,913,14,0.078431373,0,0.352596402,0.033572346,,,,,-0.352596402,-0.033572346,,,,,,,
322,25.5218763,913,13,0.039215686,0,0.353508621,0.033603817,,,,,-0.353508621,-0.033603817,,,,,,,
323,25.60677016,913,12,0.039215686,0,0.355383545,0.033622563,,,,,-0.355383545,-0.033622563,,,,,,,
324,25.69117612,913,11,0.039215686,0,0.357046127,0.033616781,,,,,-0.357046127,-0.033616781,,,,,,,
325,25.77573141,913,9,0.078431373,0,0.358646095,0.033617601,,,,,-0.358646095,-0.033617601,,,,,,,
326,25.87550286,913,9,0,0,0.360359251,0.033552065,,,,,-0.360359251,-0.033552065,,,,,,,
327,25.95105827,913,8,0.039215686,0,0.361659348,0.033549264,,,,,-0.361659348,-0.033549264,,,,,,,
328,26.02270455,913,7,0.039215686,0,0.362646937,0.033536017,,,,,-0.362646937,-0.033536017,,,,,,,
329,26.09182165,913,6,0.039215686,0,0.363984525,0.033525795,,,,,-0.363984525,-0.033525795,,,,,,,
330,26.1759242,913,4,0.078431373,0,0.365222633,0.033454701,,,,,-0.365222633,-0.033454701,,,,,,,
331,26.25419367,913,4,0,0,0.366335779,0.033366978,,,,,-0.366335779,-0.033366978,,,,,,,
332,26.33142651,913,3,0.039215686,0,0.367473513,0.033338696,,,,,-0.367473513,-0.033338696,,,,,,,
333,26.41231049,913,1,0.078431373,0,0.368486345,0.033294365,,,,,-0.368486345,-0.033294365,,,,,,,
334,26.49263073,913,0,0.039215686,0,0.369523942,0.033279821,,,,,-0.369523942,-0.033279821,,,,,,,
335,26.57696281,913,0,0,0,0.370561868,0.033220127,,,,,-0.370561868,-0.033220127,,,,,,,
336,26.65579051,913,0,0,0,0.371661782,0.033227816,,,,,-0.371661782,-0.033227816,,,,,,,
337,26.72419966,913,0,0,0,0.372549355,0.033226624,,,,,-0.372549355,-0.033226624,,,,,,,
338,26.79075913,913,0,0,0,0.373636842,0.033226684,,,,,-0.373636842,-0.033226684,,,,,,,
339,26.86195464,913,0,0,0,0.374337286,0.033171818,,,,,-0.374337286,-0.033171818,,,,,,,
340,26.9402498,913,0,0,0,0.374924779,0.033168212,,,,,-0.374924779,-0.033168212,,,,,,,
341,27.00923218,913,0,0,0,0.375187218,0.033177346,,,,,-0.375187218,-0.033177346,,,,,,,
342,27.07838997,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
343,27.15653935,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
344,27.23594462,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
345,27.30223308,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
346,27.379123,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
347,27.45708433,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
348,27.52625002,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
349,27.59221098,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
350,27.67984142,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
351,27.75790231,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
352,27.83004794,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
353,27.91126813,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
354,27.98001505,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
355,28.05810161,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
356,28.14240841,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
357,28.21111504,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
358,28.27979243,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
359,28.36176047,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
360,28.44258678,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
361,28.51597093,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
362,28.59577877,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
363,28.68049762,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
364,28.75875524,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
365,28.81548836,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
366,28.89672198,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
367,28.98118601,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
368,29.05930655,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
369,29.12814434,913,0,0,0,0.37495023,0.033108741,,,,,-0.37495023,-0.033108741,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12.66816024,,,,,,,,,,,,,,,,,,,,
