0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.925914220416354603e-06,7.679433539414701525e-07
2.000000000000000000e+00,1.554090757351590454e-02,2.013760617328951268e-03
3.000000000000000000e+00,2.349427457921070619e-02,3.043960826431363082e-03
4.000000000000000000e+00,3.245307169763615024e-02,4.203828004686958018e-03
5.000000000000000000e+00,4.145097984991634454e-02,5.367936234839231630e-03
6.000000000000000000e+00,4.962755629124683543e-02,6.424878320828529728e-03
7.000000000000000000e+00,5.760581213666738504e-02,7.455184633631024502e-03
8.000000000000000000e+00,6.657409071784549381e-02,8.611964959224605726e-03
9.000000000000000000e+00,7.472340795376206102e-02,9.661666560695550063e-03
1.000000000000000000e+01,8.367627915796709004e-02,1.081308229626724675e-02
1.100000000000000000e+01,9.260544670529045896e-02,1.195936982540328486e-02
1.200000000000000000e+01,1.026403898461435149e-01,1.324486314176387576e-02
1.300000000000000000e+01,1.116458041564362402e-01,1.439575298071621781e-02
1.400000000000000000e+01,1.216206980331890758e-01,1.566726421101149319e-02
1.500000000000000000e+01,1.306324333186502373e-01,1.681279980138336225e-02
1.600000000000000000e+01,1.397579461571434034e-01,1.796947261750469690e-02
1.700000000000000000e+01,1.505561470495860865e-01,1.933353404801229497e-02
1.800000000000000000e+01,1.606084728721523525e-01,2.059856247609784946e-02
1.900000000000000000e+01,1.824446766524905617e-01,2.332912361443615842e-02
2.000000000000000000e+01,1.935352226464737979e-01,2.470610695208232815e-02
2.100000000000000000e+01,2.138761207385269369e-01,2.721277467990412466e-02
2.200000000000000000e+01,2.248094324751951090e-01,2.854940429876007615e-02
2.300000000000000000e+01,2.347519313542096586e-01,2.975802689575203150e-02
2.400000000000000000e+01,2.457358108922254036e-01,3.108531277893927802e-02
2.500000000000000000e+01,2.547060647781436704e-01,3.216287558131032676e-02
2.600000000000000000e+01,2.857886700470715358e-01,3.584964219370383176e-02
2.700000000000000000e+01,2.937598147954275651e-01,3.678275958984974364e-02
2.800000000000000000e+01,3.018767370336058464e-01,3.772752622592216720e-02
2.900000000000000000e+01,3.108335588472911915e-01,3.876357078362645953e-02
3.000000000000000000e+01,3.218747222227709148e-01,4.003113368265731609e-02
3.100000000000000000e+01,3.308244329393917327e-01,4.105064937649437889e-02
3.200000000000000000e+01,3.407748330373668311e-01,4.217562304043524085e-02
3.300000000000000000e+01,3.507303689276662917e-01,4.329199591079182369e-02
3.400000000000000000e+01,3.631222456844529489e-01,4.466845934831085302e-02
3.500000000000000000e+01,3.729659793264605838e-01,4.575130499285577634e-02
